Assembly Accession	Source Database	Organism Name	Organism Infraspecific Names Strain	Assembly Level	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Total Number of Chromosomes	Assembly Stats GC Percent	CheckM completeness	CheckM contamination	Assembly Sequencing Tech	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioProject Accession	Assembly BioProject Lineage Title	Assembly Release Date
GCF_030369655.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	YZEF2-2C	Complete Genome	5735832	6	6	57	99.07	0.89	Illumina HiSeq; Oxford Nanopore MinION	SAMN35779361	Laying hen			China: Jiangsu	2022-11	PRJNA983216	Genome sequencing and assembly	2023-06-28
GCF_030388425.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPTCM2	Complete Genome	6001395	5	5	57	98.98	0.86	Illumina; Oxford Nanopore	SAMN33402979	Patient blood	Homo sapiens		China: Hangzhou	2021-03-14	PRJNA937332	Klebsiella pneumoniae isolate:KPTCM2 Genome sequencing	2023-07-03
GCF_030406515.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Jinyinhai1	Complete Genome	5872677	5	5	57	98.55	0.6	Illumina NovaSeq; Oxford Nanopore	SAMN36017048		Homo sapiens		China:Zhejiang	2022	PRJNA988307	klebsiella pneumoniae isolates from a patient with acute myelocytic leukemia	2023-09-20
GCF_030412885.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	YZE1-3D	Complete Genome	5734026	6	6	57	99.07	0.89	Illumina HiSeq; Oxford Nanopore MinION	SAMN35779363	Laying hen			China: Jiangsu	2022-11	PRJNA983216	Genome sequencing and assembly	2023-07-08
GCF_030414235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	HMKP141603t	Complete Genome	5432219	4	4	57.5	98.82	0.19	Illumina; Oxford Nanopore	SAMN35786900	clinically infected patient	Homo sapiens	pneumonia	China: Kunming, Yunnan	2014	PRJNA985056	Klebsiella pneumoniae isolate:a patient Genome sequencing	2023-07-09
GCF_030442015.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	35	Complete Genome	5517429	3	3	57	98.81	0.68	Illumina; Oxford Nanopore	SAMN34559500		Homo sapiens		China	2018	PRJNA966776	Novel virulence plasmid in Klebsiella pneumoniae	2023-08-25
GCF_030442105.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	36	Complete Genome	5465871	2	2	57	98.81	0.94	Illumina; Oxford Nanopore MinION	SAMN34559501		Homo sapiens		China	2018	PRJNA966776	Novel virulence plasmid in Klebsiella pneumoniae	2023-08-25
GCF_030489745.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2016N08-086	Complete Genome	5837812	4	4	57	98.64	1.73	PacBio Sequel	SAMN36281288	not applicable	Homo sapiens		Taiwan	2016	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489765.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C04-115	Complete Genome	5918421	6	6	57	97.82	0.87	PacBio Sequel	SAMN36281311	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489785.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2016N17-469	Complete Genome	5652673	4	4	57	98.57	0.97	PacBio Sequel	SAMN36281294	not applicable	Homo sapiens		Taiwan	2016	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489805.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C06-162	Complete Genome	5731885	5	5	57	99.01	0.57	PacBio Sequel	SAMN36281296	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489825.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2016C06-161	Complete Genome	5880070	5	5	57	98.89	0.33	PacBio Sequel	SAMN36281291	not applicable	Homo sapiens		Taiwan	2016	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489845.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C06-156	Complete Genome	5534620	3	3	57	99.07	0.72	PacBio Sequel	SAMN36281295	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489865.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C07-121	Complete Genome	5824119	4	4	57	97.93	0.6	PacBio Sequel	SAMN36281300	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489885.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C07-048	Complete Genome	5741164	3	3	57	98.13	0.6	PacBio Sequel	SAMN36281299	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489905.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C07-039	Complete Genome	5629617	3	3	57.5	98.7	0.21	PacBio Sequel	SAMN36281298	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489925.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C06-172	Complete Genome	5732161	5	5	57	99.07	0.57	PacBio Sequel	SAMN36281297	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489945.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C09-155	Complete Genome	5821231	4	4	57	98.64	0.7	PacBio Sequel	SAMN36281306	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030489985.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C09-174	Complete Genome	5776288	4	4	57	98.86	0.57	PacBio Sequel	SAMN36281307	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490005.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C07-160	Complete Genome	5881311	5	5	57	98.11	0.61	PacBio Sequel	SAMN36281327	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490025.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C04-057	Complete Genome	5838075	4	4	57	98.29	0.61	PacBio Sequel	SAMN36281310	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490045.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C07-166	Complete Genome	5938609	6	6	57	97.41	0.87	PacBio Sequel	SAMN36281328	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490065.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C07-038	Complete Genome	5760784	5	5	57	97.91	1.62	PacBio Sequel	SAMN36281324	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490085.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C07-116	Complete Genome	5878155	4	4	57	97.96	0.61	PacBio Sequel	SAMN36281326	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490105.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C08-162	Complete Genome	5976957	6	6	56.5	98	0.75	PacBio Sequel	SAMN36281338	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490125.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020N06-155	Complete Genome	5774883	5	5	57	98.77	0.57	PacBio Sequel	SAMN36281318	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490145.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020N06-159	Complete Genome	5777103	5	5	57	98.9	0.57	PacBio Sequel	SAMN36281319	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020N17-053	Complete Genome	6016882	5	5	56.5	98.14	0.86	PacBio Sequel	SAMN36281332	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490205.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020S05-121	Complete Genome	5506118	2	2	57.5	97.73	0.38	PacBio Sequel	SAMN36281313	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490225.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020N17-065	Complete Genome	5629612	3	3	57.5	98.7	0.21	PacBio Sequel	SAMN36281333	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490245.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C07-142	Complete Genome	5847315	5	5	57	97.81	0.6	PacBio Sequel	SAMN36281301	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490405.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020S05-051	Complete Genome	5857666	6	6	57	98.66	0.79	PacBio Sequel	SAMN36281312	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490425.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C07-177	Complete Genome	5943835	4	4	57	98.35	1.33	PacBio Sequel	SAMN36281329	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490445.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C07-229	Complete Genome	5870388	5	5	57	98.61	0.5	PacBio Sequel	SAMN36281330	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490465.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C07-244	Complete Genome	5672887	4	4	57	98.42	0.74	PacBio Sequel	SAMN36281303	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490485.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018C08-141	Complete Genome	5800910	5	5	57	96.65	0.6	PacBio Sequel	SAMN36281304	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490505.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2018N21-088	Complete Genome	5733599	4	4	57	98.69	0.59	PacBio Sequel	SAMN36281305	not applicable	Homo sapiens		Taiwan	2018	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490535.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C01-025	Complete Genome	5747229	4	4	57	98.64	0.61	PacBio Sequel	SAMN36281308	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490555.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020N08-172	Complete Genome	5792021	5	5	57	97.89	0.47	PacBio Sequel	SAMN36281320	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490575.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020C07-241	Complete Genome	5920500	4	4	57	97.83	1.33	PacBio Sequel	SAMN36281331	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020N17-097	Complete Genome	5751683	3	3	57	98.55	0.22	PacBio Sequel	SAMN36281334	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490615.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020S06-160	Complete Genome	6044506	6	6	56.5	99.07	0.77	PacBio Sequel	SAMN36281315	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490635.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020S09-154	Complete Genome	5976919	4	4	57	98.39	0.48	PacBio Sequel	SAMN36281323	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490655.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020S09-111	Complete Genome	5636179	2	2	57.5	98.38	0.21	PacBio Sequel	SAMN36281321	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490675.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020S07-151	Complete Genome	6101140	5	5	56.5	98.15	1.96	PacBio Sequel	SAMN36281316	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490695.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020N17-130	Complete Genome	5633254	3	3	57.5	98.72	0.21	PacBio Sequel	SAMN36281335	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030490715.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2020N17-131	Complete Genome	5637300	3	3	57.5	99.02	0.21	PacBio Sequel	SAMN36281336	not applicable	Homo sapiens		Taiwan	2020	PRJNA990923	Klebsiella pneumoniae Genome sequencing and assembly by pacbio sequencing	2023-07-17
GCF_030503755.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KpIM03_1	Complete Genome	5773102	4	4	57	98.81	1.32	Oxford Nanopore	SAMN17976209	sputum	patient		China	2019-03-10	PRJNA732824	Clinical CR-hv ST218 Klebsiella pneumoniae	2023-07-18
GCF_030503775.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KpIM03_1	Complete Genome	5577404	3	3	57	98.97	0.24	Oxford Nanopore	SAMN17976200	sputum	patient		China	2019-05-10	PRJNA732824	Clinical CR-hv ST218 Klebsiella pneumoniae	2023-07-18
GCF_030506095.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	DX2-3hy	Complete Genome	5794571	6	6	57	99.07	0.41	Oxford Nanopore	SAMN36410974	feces	elephant		China:Hangzhou	2019-12-09	PRJNA941969	Klebsiella pneumoniae Genome sequencing and assembly	2023-07-19
GCF_030506115.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	DX3-2hy	Complete Genome	5794206	6	6	57	99.07	0.41	Oxford Nanopore	SAMN36411140	feces	elephant		China:Hangzhou	2019-12-09	PRJNA941969	Klebsiella pneumoniae Genome sequencing and assembly	2023-07-19
GCF_030534295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP1	Complete Genome	5292884	3	3	57.5	98.55	1.09	Illumina NovaSeq; PacBio Sequel	SAMN36450218	pig farm	swine		China	2021-05-30	PRJNA994841	KP1 Raw sequence reads	2023-07-25
GCF_030544725.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	T877-PC	Complete Genome	5443920	4	4	57	98.55	1.17	Illumina HiSeq; Oxford Nanopore MiniION	SAMN25889007		Homo sapiens		China: Zhejiang	2021	PRJNA806512	an IncFIBk-FII-X3-ColKP3 hybrid plasmid in Klebsiella pneumoniae	2023-07-26
GCF_030544975.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FJ8-TC	Complete Genome	5986115	6	6	57	99.07	0.99	Illumina HiSeq; Oxford Nanopore MiniION	SAMN25889008		Homo sapiens		China: Zhejiang	2021	PRJNA806512	an IncFIBk-FII-X3-ColKP3 hybrid plasmid in Klebsiella pneumoniae	2023-07-26
GCF_030552975.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP9	Complete Genome	5768427	7	7	56.5	98.81	0.74	Illumina NovaSeq; PacBio Sequel	SAMN36621066		Homo sapiens		China	2021-05-30	PRJNA996717	Klebsiella pneumoniae strain:KP9 Genome sequencing	2023-07-30
GCF_030552995.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	F1025	Complete Genome	5917483	7	7	57	99.07	0.43	Illumina NovaSeq 6000; Oxford Nanopore PromethION 48	SAMN36465167	feces	Homo sapiens	missing	China	2023	PRJNA995051	Klebsiella pneumoniae Genome sequencing	2023-07-30
GCF_030553015.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SP1030	Complete Genome	5896224	4	4	57	99.07	0.43	Illumina NovaSeq 6000; Oxford Nanopore PromethION 48	SAMN36465169	sputum	Homo sapiens	missing	China	2023	PRJNA995051	Klebsiella pneumoniae Genome sequencing	2023-07-30
GCF_030582295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AZJ065	Complete Genome	5548890	3	3	57	98.98	0.94	PacBio Sequel	SAMN29160538	blood	Homo sapiens	Bloodstream infection	China	2018	PRJNA692086	BSI-Kpn sequencing	2023-08-02
GCF_030644545.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_2016-1198	Complete Genome	5510693	2	2	57	99.07	1.21	Oxford Nanopore GridION	SAMN22106528	Bivalve mollusc			Norway	2016	PRJNA769247	Klebsiella pneumoniae: Long read sequencing	2023-08-04
GCF_030644565.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_2016-319	Complete Genome	5489258	2	2	57.5	99.07	0.72	Oxford Nanopore GridION	SAMN22106542	Bivalve mollusc			Norway	2016	PRJNA769247	Klebsiella pneumoniae: Long read sequencing	2023-08-04
GCF_030644585.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_2019-1792	Complete Genome	5577689	3	3	57.5	98.22	0.93	Oxford Nanopore GridION	SAMN22106543	Bivalve mollusc			Norway	2019	PRJNA769247	Klebsiella pneumoniae: Long read sequencing	2023-08-04
GCF_030644605.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_2016-1200	Complete Genome	5502481	3	3	57.5	99.07	0.36	Oxford Nanopore GridION	SAMN22106519	Bivalve mollusc			Norway	2016	PRJNA769247	Klebsiella pneumoniae: Long read sequencing	2023-08-04
GCF_030644625.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_2019-1764	Complete Genome	5335409	2	2	57.5	98.42	0.99	Oxford Nanopore GridION	SAMN22106541	Bivalve mollusc			Norway	2019	PRJNA769247	Klebsiella pneumoniae: Long read sequencing	2023-08-04
GCF_030685615.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	GDFK0181	Complete Genome	5350988	1	1	57.5	98.86	0.22	PacBio RSII	SAMN36766149	Puncture fluid	Homo sapiens	Hepatic abscess	China: shandong	2019	PRJNA1000265	Klebsiella pneumoniae strain:GDFK0181 Genome sequencing	2023-08-08
GCF_030685635.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	GDFK0508	Complete Genome	5451191	1	1	57.5	98.6	0.61	PacBio RSII	SAMN36766156	sputum	Homo sapiens	NA	China: Shanaxi	2016	PRJNA1000269	Klebsiella pneumoniae strain:GDFK0508 Genome sequencing	2023-08-08
GCF_030704345.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN5752	Complete Genome	5915074	7	7	57	99.01	1.37	PacBio Sequel	SAMN36780135	stool			China:Anhui	2021-05-20	PRJNA1000767	Klebsiella pneumoniae strain:KPN5752 Genome sequencing	2023-08-09
GCF_030717705.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CRKP-B8	Complete Genome	5938675	6	6	57	99.04	0.45	Illumina HiSeq; PacBio RSII	SAMN35811331	blood	Homo sapiens		missing	2022-03-17	PRJNA985853	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-13
GCF_030717725.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CRKP-F1	Complete Genome	5843268	6	6	57	98.27	0.45	Illumina HiSeq; PacBio RSII	SAMN35811324	feces	Homo sapiens		missing	2021-03-25	PRJNA985853	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-13
GCF_030845375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	505107	Complete Genome	5352160	3	3	57.5	98.76	0.72	PacBio	SAMN36071316	Unknown	Homo sapiens	missing	Egypt	2016-05-04	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845395.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	489766	Complete Genome	5706299	3	3	57	97.51	0.61	PacBio	SAMN36071315	respiratory	Homo sapiens	missing	Ukraine	2014-09-12	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845415.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	352310	Complete Genome	5778228	4	4	57	98.84	0.93	PacBio	SAMN36071314	wound	Homo sapiens	missing	Germany	2015-11-01	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	25188	Complete Genome	5689902	2	2	57	98.34	0.55	PacBio	SAMN36071313	urine	Homo sapiens	missing	USA:California	2014-06-16	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845455.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	582610	Complete Genome	5683363	3	3	57	99.06	0.91	Oxford Nanopore MinION	SAMN36071312	respiratory	Homo sapiens	missing	Thailand	2017-10-10	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	474269	Complete Genome	5817617	3	3	57	98.56	1.37	Oxford Nanopore MinION	SAMN36071311	urine	Homo sapiens	missing	USA:Hawaii	2016-03-30	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845495.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	16006	Complete Genome	5694156	2	2	57	98.69	0.37	PacBio	SAMN36071310	respiratory	Homo sapiens	missing	USA:North Caroline	2012-11-21	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845515.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	15056	Complete Genome	5968211	6	6	56.5	98.32	0.74	Oxford Nanopore MinION	SAMN36071309	wound	Homo sapiens	missing	Afghanistan:Kabul	2013-02-04	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845535.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	7835	Complete Genome	5687566	2	2	57	98.34	0.55	PacBio	SAMN36071308	blood	Homo sapiens	missing	USA:Virginia	2012-03-02	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845555.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	110821	Complete Genome	5768604	3	3	56.5	97.73	1.28	Oxford Nanopore MinION	SAMN36071307	Surveillance	Homo sapiens	missing	Germany	2022-11-26	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845575.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	589394	Complete Genome	5737974	4	4	57	98.47	1.39	PacBio	SAMN36071306	wound	Homo sapiens	missing	Afghanistan:Bagram	2018-07-16	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	589376	Complete Genome	5877788	7	7	57	98.47	4	Oxford Nanopore MinION	SAMN36071305	respiratory	Homo sapiens	missing	Afghanistan:Bagram	2018-07-15	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845615.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	576901	Complete Genome	5737208	4	4	57	98.3	1.39	PacBio	SAMN36071304	wound	Homo sapiens	missing	Afghanistan:Bagram	2018-06-09	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845635.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	550037	Complete Genome	5396302	2	2	57.5	98.49	0.19	PacBio	SAMN36071303	respiratory	Homo sapiens	missing	Uganda	2017-07-05	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845655.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	544090	Complete Genome	5475965	2	2	57.5	98.46	1.13	PacBio	SAMN36071302	blood	Homo sapiens	missing	USA:Maryland	2017-12-05	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845675.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	517485	Complete Genome	6054606	7	7	56.5	97.2	0.44	PacBio	SAMN36071301	Unknown	Homo sapiens	missing	Egypt	2014-12-15	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845695.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	489775	Complete Genome	5856851	4	4	56.5	97.9	0.59	PacBio	SAMN36071300	wound	Homo sapiens	missing	Ukraine	2015-03-26	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
GCF_030845715.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	480738	Complete Genome	5702676	5	5	57	98.98	0.72	PacBio	SAMN36071299	respiratory	Homo sapiens	missing	Thailand	2017-05-29	PRJNA981468	Klebsiella pneumoniae Genome sequencing and assembly	2023-08-20
